date,id,content,username,like count,retweet count
2023-05-18 07:37:47+00:00,1659100956896763904,"Britain and the Nakba: A history of betrayal https://t.co/JNHX8g9hg3 

#Nakba #Palestine",sarahlouise1123,0,0
2023-05-18 07:37:29+00:00,1659100880782721024,"@Benzotronn @TigayBarry @StateSEAS No. According to Zionists, Jews have a right to come to #Palestine &amp; violently slaughter the inhabitants &amp; steal their homeland. That is what Zionism is. The belief they r chosen by a God &amp; given the right to kill people while claiming those people don't exist &amp; have no rights.",Monty_LFC,0,0
2023-05-18 07:28:22+00:00,1659098585542041600,"💕🇵🇸🇵🇸💕
two loves in one post. #Palestine and #design :)",1601lulwa,1,0
2023-05-18 07:27:52+00:00,1659098460987990019,These sins against #Palestine by #Israel will be remembered by both God and Man. #historywillremember and #theworldiswatching,living_unmasked,0,0
2023-05-18 07:24:43+00:00,1659097669376131072,"#BreakingNews

#Israeli_settlers, backed by regime troops, forcibly expel Palestinian worshippers from #alaqsa_mosque compound.

#Palestine #West_Bank #Israeli_occupation #Gaza #alquds #Jerusalem #telaviv #Middle_East #Jenin #Gaza_Strip #Nablus #Israel",StevenSahiouni,0,0
2023-05-18 07:22:49+00:00,1659097192370405376,"""You can't say because #Ukraine 🇺🇦 was invaded that suddenly sovereignty is important, but it was never important for #Palestine. If you believe in international law, then wherever sovereignty is infringed, it must apply.""

— 🇿🇦 South African Foreign Minister in April, 2023. https://t.co/OAsgLIKG6F",VictorKiprop_,2,3
2023-05-18 07:20:00+00:00,1659096480836091904,"How to donate bitcoin to Palestinian Islamic Jihad (PIJ)

https://t.co/QS4BgcNFFA

#Palestine #GAZA #donations #crypto #FreeAlAqsa",AmirafreeGAZA,0,0
2023-05-18 07:17:36+00:00,1659095879045840903,"indeed,""Captivated by #Avatar, it struck me how it mirrors the profound bond between the people of #Palestine and their ancestral land.The love for their homes,heritage runs so deep that it  reverberates with pain. Witnessing their suffering is both heartbreaking and humbling.",Jayguptaz,0,0
2023-05-18 07:16:29+00:00,1659095598555963393,Savage Israeli soldier #Palestine #Gaza #Israel,CodeUnwrapped,0,0
2023-05-18 07:14:04+00:00,1659094988112756737,"Good morning from #Jerusalem! The eternal capital of the State of #Palestine.   

#FreePalestine https://t.co/GmZeXdZtDK",oppecial_alamin,0,0
2023-05-18 07:14:03+00:00,1659094984019136514,"#BREAKING |  #AlMayadeen correspondent: Israeli occupation Police Minister Itamar Ben-Gvir is likely to participate in the #FlagMarch scheduled for today evening.

#Palestine 
#RaiseYourFlag",MayadeenEnglish,2,2
2023-05-18 07:10:00+00:00,1659093964274769920,"TODAY: #IsraeliTerrorists 
brutally assaulting and beating Palestinian boy in the old city of
#Jerusalem. 18.5.23 #FreePalestine #IsraeliTerrorism #Terrorism @IntlCrimCourt @OICatUN #Palestine https://t.co/if0xjUOUZv",GFilza,3,5
2023-05-18 07:05:23+00:00,1659092804792905729,"#Breaking | #AlMayadeen's Correspondent: 500 settlers have stormed #AlAqsa's courtyards since morning.

#Palestine 
#RaiseYourFlag https://t.co/ZqFfX1ceh5",MayadeenEnglish,6,9
2023-05-18 07:00:01+00:00,1659091452557684745,"Cartoon published in today's edition of The Peninsula

#Qatar #CartoonOfTheDay #Gaza #Palestine https://t.co/bTOFXnhdA3",PeninsulaQatar,3,2
2023-05-18 06:56:50+00:00,1659090651487633412,"Palestine will be free, From the river to the sea
#غزة #المسجد_الأقصى #فلسطين #Palestine #alquds https://t.co/fwqKmHZrkp",EngSalman84,0,0
2023-05-18 06:54:25+00:00,1659090045402333186,"Israeli occupation forces deployed 3,200 police officers throughout occupied #AlQuds to protect settlers during their provocative #FlagMarch, which is scheduled to take place this afternoon.

#AlAqsa
#Palestine
#RaiseYourFlag  https://t.co/uIHXMGCMmM",MayadeenEnglish,2,7
2023-05-18 06:53:55+00:00,1659089919107649537,"The other day we talked about the crimes committed in #Palestine, and sadly some #Muslims #Palestinians started to tell us who are not from Palestine how we have no say about Palestine since we aren't from there and how we should worry about our own countries! https://t.co/qEJejx8e0i",AssassinOfLies,0,0
2023-05-18 06:44:30+00:00,1659087549569318912,"Live | What is “flag day” in Jerusalem, and why is PSC protesting against it? With Professor Usuf Chikte, Palestine Solidarity Campaign (PSC) Coordinator #FlagDay #FlagMarch #Jerusalem #Palestine @salaamedia @inayetH https://t.co/lOpU49PVA8",SalaamediaLive,0,0
2023-05-18 06:43:39+00:00,1659087334585913344,"mission in Israel.  
Her words are unacceptable, and must be condemned. It is time for each of her lies to be called out directly. 
There 👏 is👏no👏democracy👏in👏an👏apartheid👏regime.

Israel is not a democracy. Freedom to #Palestine. End #apartheid.",JacksonChizhika,0,0
2023-05-18 06:41:51+00:00,1659086880204283904,"No one really gives a toss about the stupid Palestinians. You shout, our nations mumble a little sympathy but the truth is you’re all a bunch of gaslighting, self-victimising, stupid Islamist c*nts.

#palestine #nakba #israel",unhelpfulstats,0,0
2023-05-18 06:40:41+00:00,1659086587727101952,"""I was kicked out of the #AlAqsaMosque for recording footage on my phone that showed what was happening in the courtyard.""

Cameraman Wehbi Makkiyeh to #AlMayadeen 

#Palestine 

@HanaaMahamed",MayadeenEnglish,3,5
2023-05-18 06:38:17+00:00,1659085984925884423,Occupied #Palestine 🇵🇸🇵🇸🇵🇸🇵🇸 https://t.co/6wk3Yxl621,Bsonja5,73,26
